fileName,contractName,LOC,WFC,WMC,NPF,AFC,Max_cc,Avg_cc,MOA,CBO,RFC,CA,CE,IC,CBF,LCOF,LCOF3,CAF,DIT,NOC,MFA,DAM,NC,NTF,NSF,NATV,NDO,NRF,NE,TNP,TNMSV,NUAP,TNTDF,bugTotalNumber,DAOMethodCall,DelegateCallWithUserInput,UnsafeCallTarget,TODAmount,TODReceiver,TODTransfer,DAO,DAOConstantGas,UnprivilegedSuicide,UnrestrictedEtherFlow,UnrestrictedWrite,UseOfOrigin,IntegerOverflow,DivisionBeforeCallvalue,DivisionBeforeMultiply,LockedEther,MissingInputValidation,UnhandledException,WriteOnly,UnsafeDependenceOnBlock,UnsafeDependenceOnGas
0x0bcc1c0290bcc624d12824d408f31c35309fa8d0,MyAdvancedToken,70,7,0,6,5.571428571428571,1,0.875,2,2,20,0,2,2,0,15,1.1666666666666667,0.2857142857142857,1,0,0.0,0.0,0,1,0,1,1,6,1,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc1c0290bcc624d12824d408f31c35309fa8d0,owned,16,2,1,2,3.3333333333333335,1,0.6666666666666666,0,1,4,1,0,0,0,0,1.5,0.5,0,1,0.0,0.0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0x0bcc1c0290bcc624d12824d408f31c35309fa8d0,TokenERC20,150,8,0,7,8.375,1,0.8888888888888888,1,2,25,1,1,0,0,10,1.1428571428571428,0.4,0,1,0.0,0.0,0,0,0,3,0,7,2,19,22,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,ERC20,6,3,0,3,1.0,1,0.75,1,3,3,2,1,1,0,0,0,0.8333333333333334,1,2,0.0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,SafeMathLibExt,27,4,0,0,5.0,1,0.8,0,2,9,2,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,FractionalERC20Ext,6,0,0,0,0,0,0.0,1,2,0,1,1,1,0,0,0.0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,FinalizeAgent,21,4,0,2,1.5,1,0.8,0,1,4,1,0,0,0,6,1.3333333333333333,0.25,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,SafeMath,42,8,0,0,4.0,1,0.8888888888888888,0,1,13,1,0,0,0,0,0,0.3333333333333333,0,1,0.0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,ERC20Basic,6,2,0,2,1.0,1,0.6666666666666666,0,1,2,1,0,0,0,1,2.0,0.75,0,1,0.0,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,Ownable,36,2,1,1,4.0,1,0.6666666666666666,0,2,7,2,0,0,0,0,1.5,0.5,0,2,0.0,0.0,0,0,0,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,CrowdsaleExt,581,33,1,26,10.088235294117647,16,2.3529411764705883,17,10,152,1,9,1,0,376,1.0303030303030303,0.13852813852813853,2,1,0.0,0.041666666666666664,2,0,1,7,0,0,5,41,42,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,PricingStrategy,42,5,0,5,2.2,1,0.8333333333333334,0,2,5,2,0,0,0,10,1.25,0.5,0,0,0.0,0.0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,MintedTokenCappedCrowdsaleExt,70,7,0,5,7.0,1,0.875,5,3,27,0,3,1,0,9,1.1666666666666667,0.34285714285714286,3,0,0.0,0.0,0,0,0,0,0,0,1,20,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,Haltable,29,2,3,0,3.6,1,0.6666666666666666,1,2,5,1,1,1,0,0,1.25,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,StandardToken,55,6,0,1,6.0,3,1.1428571428571428,2,3,14,1,2,2,0,3,1.2,0.6666666666666666,2,1,0.0,1.0,0,0,0,3,0,0,1,10,7,8,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
0x0bcc60f2460e2bbf05500c8f42535d537c7b9025,MintableTokenExt,124,10,2,9,6.166666666666667,4,1.1818181818181819,4,5,27,1,4,2,0,3,1.0909090909090908,0.4666666666666667,3,0,0.0,0.16666666666666666,1,0,0,3,0,0,1,18,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bccc88811ac345c7dcc5958cd5701120de44868,owned,22,3,1,3,4.0,2,1.0,0,1,7,1,0,0,0,0,1.3333333333333333,0.3333333333333333,0,1,0.0,0.0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0x0bccc88811ac345c7dcc5958cd5701120de44868,EPLAY,67,9,2,4,4.7272727272727275,2,1.0,1,1,24,0,1,1,0,36,1.1,0.3333333333333333,2,0,0.0,1.0,0,0,0,4,0,4,1,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bccc88811ac345c7dcc5958cd5701120de44868,SafeMath,40,4,0,0,6.5,2,1.0,0,1,7,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bccc88811ac345c7dcc5958cd5701120de44868,ERC20,47,7,0,7,4.857142857142857,1,0.875,1,3,17,1,2,1,0,1,1.1666666666666667,0.35714285714285715,1,1,0.0,0.3333333333333333,0,0,0,3,0,0,2,13,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bcccba050c2ce6439c57bd203378b113cc3cfd6,StakeholderGame,18,2,0,2,5.5,2,1.0,1,1,3,0,1,1,0,1,2.0,0,1,0,0.0,0.0,0,1,0,1,0,0,0,0,2,0,0,5,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
0x0bcccba050c2ce6439c57bd203378b113cc3cfd6,Ownable,12,1,1,1,3.5,1,0.5,0,1,3,1,0,0,0,0,2.0,0,0,1,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bccd02dd1dcd3558d9f18059a272ef4357e51d4,StandardToken,45,5,0,0,6.8,4,1.6666666666666667,1,2,8,1,1,1,0,0,1.25,0.8,1,1,0.0,0.6666666666666666,0,0,0,3,0,0,0,10,13,4,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
0x0bccd02dd1dcd3558d9f18059a272ef4357e51d4,Token,37,6,0,0,1.0,1,0.8571428571428571,0,1,6,1,0,0,0,0,0,0.6666666666666666,0,1,0.0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bccd02dd1dcd3558d9f18059a272ef4357e51d4,CRVToken,47,3,0,0,7.333333333333333,1,0.75,1,1,8,0,1,1,0,3,1.5,0.3333333333333333,2,0,0.0,0.0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
